"Variable Code","Country or Area Code","Country or Area","Year(s) Code","Year(s)","Variant Code","Variant","Value"
"12","643","Russian Federation","151","2100","2","Medium","112068.747"
"12","643","Russian Federation","151","2100","3","High","162441.155"
"12","643","Russian Federation","151","2100","4","Low","74199.035"
"12","643","Russian Federation","151","2100","5","Constant fertility","94000.181"
"12","643","Russian Federation","151","2100","6","Instant replacement","152470.935"
"12","643","Russian Federation","151","2100","7","Zero migration","101235.789"
"12","643","Russian Federation","151","2100","8","Constant mortality","89460.587"
"12","643","Russian Federation","151","2100","9","No change","72612.63"
"12","643","Russian Federation","151","2100","10","Momentum","115323.207"
"12","643","Russian Federation","151","2100","16","Instant replacement zero migration","140005.549"
"12","643","Russian Federation","151","2100","202","Median PI","112068.747"
"12","643","Russian Federation","151","2100","203","Upper 80 PI","132097.522"
"12","643","Russian Federation","151","2100","204","Lower 80 PI","90967.672"
"12","643","Russian Federation","151","2100","206","Upper 95 PI","144438.689"
"12","643","Russian Federation","151","2100","207","Lower 95 PI","78596.038"
"12","643","Russian Federation","150","2099","2","Medium","112339.929"
"12","643","Russian Federation","150","2099","3","High","161662.733"
"12","643","Russian Federation","150","2099","4","Low","75051.261"
"12","643","Russian Federation","150","2099","5","Constant fertility","94622.753"
"12","643","Russian Federation","150","2099","6","Instant replacement","152083.628"
"12","643","Russian Federation","150","2099","7","Zero migration","101644.284"
"12","643","Russian Federation","150","2099","8","Constant mortality","89857.121"
"12","643","Russian Federation","150","2099","9","No change","73293.922"
"12","643","Russian Federation","150","2099","10","Momentum","115394.39"
"12","643","Russian Federation","150","2099","16","Instant replacement zero migration","139798.093"
"12","643","Russian Federation","150","2099","202","Median PI","112339.93"
"12","643","Russian Federation","150","2099","203","Upper 80 PI","132026.615"
"12","643","Russian Federation","150","2099","204","Lower 80 PI","91602.511"
"12","643","Russian Federation","150","2099","206","Upper 95 PI","144131.413"
"12","643","Russian Federation","150","2099","207","Lower 95 PI","79240.741"
"12","643","Russian Federation","149","2098","2","Medium","112612.788"
"12","643","Russian Federation","149","2098","3","High","160894.766"
"12","643","Russian Federation","149","2098","4","Low","75904.144"
"12","643","Russian Federation","149","2098","5","Constant fertility","95239.189"
"12","643","Russian Federation","149","2098","6","Instant replacement","151692.815"
"12","643","Russian Federation","149","2098","7","Zero migration","102054.2"
"12","643","Russian Federation","149","2098","8","Constant mortality","90268.387"
"12","643","Russian Federation","149","2098","9","No change","73985.446"
"12","643","Russian Federation","149","2098","10","Momentum","115468.451"
"12","643","Russian Federation","149","2098","16","Instant replacement zero migration","139586.563"
"12","643","Russian Federation","149","2098","202","Median PI","112612.788"
"12","643","Russian Federation","149","2098","203","Upper 80 PI","131908.489"
"12","643","Russian Federation","149","2098","204","Lower 80 PI","92243.299"
"12","643","Russian Federation","149","2098","206","Upper 95 PI","143854.816"
"12","643","Russian Federation","149","2098","207","Lower 95 PI","79851.837"
"12","643","Russian Federation","148","2097","2","Medium","112885.713"
"12","643","Russian Federation","148","2097","3","High","160135.526"
"12","643","Russian Federation","148","2097","4","Low","76756.06"
"12","643","Russian Federation","148","2097","5","Constant fertility","95849.35"
"12","643","Russian Federation","148","2097","6","Instant replacement","151298.143"
"12","643","Russian Federation","148","2097","7","Zero migration","102464.07"
"12","643","Russian Federation","148","2097","8","Constant mortality","90692.328"
"12","643","Russian Federation","148","2097","9","No change","74686.435"
"12","643","Russian Federation","148","2097","10","Momentum","115544.218"
"12","643","Russian Federation","148","2097","16","Instant replacement zero migration","139370.6"
"12","643","Russian Federation","148","2097","202","Median PI","112885.713"
"12","643","Russian Federation","148","2097","203","Upper 80 PI","131909.665"
"12","643","Russian Federation","148","2097","204","Lower 80 PI","92838.404"
"12","643","Russian Federation","148","2097","206","Upper 95 PI","143715.678"
"12","643","Russian Federation","148","2097","207","Lower 95 PI","80700.914"
"12","643","Russian Federation","147","2096","2","Medium","113158.372"
"12","643","Russian Federation","147","2096","3","High","159384.785"
"12","643","Russian Federation","147","2096","4","Low","77606.611"
"12","643","Russian Federation","147","2096","5","Constant fertility","96454.171"
"12","643","Russian Federation","147","2096","6","Instant replacement","150899.995"
"12","643","Russian Federation","147","2096","7","Zero migration","102873.637"
"12","643","Russian Federation","147","2096","8","Constant mortality","91127.004"
"12","643","Russian Federation","147","2096","9","No change","75396.03"
"12","643","Russian Federation","147","2096","10","Momentum","115620.279"
"12","643","Russian Federation","147","2096","16","Instant replacement zero migration","139150.596"
"12","643","Russian Federation","147","2096","202","Median PI","113158.372"
"12","643","Russian Federation","147","2096","203","Upper 80 PI","131884.803"
"12","643","Russian Federation","147","2096","204","Lower 80 PI","93358.539"
